user_id,transaction_time,amount_eur,category,merchant_country,transaction_type
5,2024-10-08 03:31:07,27.06,Travel,UK,TRANSFER
5,2024-09-28 19:20:07,18.49,Transport,IT,ATM_WITHDRAWAL
5,2024-10-07 18:20:07,29.62,Restaurants,UK,TRANSFER
5,2024-10-14 16:25:07,50.09,Transport,DE,CARD_PAYMENT
5,2024-11-03 17:53:07,17.45,Groceries,AT,ATM_WITHDRAWAL
5,2024-10-01 07:49:07,17.45,Travel,AT,TRANSFER
5,2024-10-07 21:12:07,51.81,Subscriptions,UK,CARD_PAYMENT
5,2024-11-29 06:20:07,31.83,Subscriptions,FR,CARD_PAYMENT
5,2024-12-09 08:24:07,15.15,Subscriptions,UK,ATM_WITHDRAWAL
5,2024-12-01 02:59:07,27.81,Transport,IT,ATM_WITHDRAWAL
5,2024-10-04 03:27:07,15.21,Groceries,FR,TRANSFER
5,2024-10-12 09:51:07,15.19,Groceries,UK,ATM_WITHDRAWAL
5,2024-11-11 03:11:07,23.22,Groceries,AT,CARD_PAYMENT
6,2025-02-03 02:43:26,6.37,Groceries,AT,TRANSFER
6,2024-12-29 06:36:26,7.14,Restaurants,ES,TRANSFER
6,2025-02-25 14:20:26,14.33,Groceries,UK,CARD_PAYMENT
6,2024-12-23 00:46:26,10.94,Subscriptions,UK,TRANSFER
6,2025-01-23 00:09:26,24.25,Online Shopping,IT,ATM_WITHDRAWAL
15,2024-07-05 04:46:29,11.65,Restaurants,DE,ATM_WITHDRAWAL
15,2024-07-18 13:53:29,8.61,Subscriptions,UK,ATM_WITHDRAWAL
22,2024-12-04 02:21:25,48.39,Groceries,UK,ATM_WITHDRAWAL
22,2025-01-11 01:16:25,17.54,Subscriptions,UK,ATM_WITHDRAWAL
22,2024-11-11 03:08:25,20.92,Restaurants,UK,TRANSFER
26,2024-09-12 22:51:06,8.54,Restaurants,UK,CARD_PAYMENT
26,2024-09-30 21:23:06,14.49,Online Shopping,IT,CARD_PAYMENT
26,2024-08-26 08:32:06,21.47,Groceries,ES,ATM_WITHDRAWAL
26,2024-08-29 17:05:06,10.07,Online Shopping,UK,TRANSFER
26,2024-08-26 22:17:06,25.16,Restaurants,UK,CARD_PAYMENT
26,2024-09-24 08:10:06,14.01,Online Shopping,ES,ATM_WITHDRAWAL
26,2024-09-10 02:17:06,16.86,Travel,UK,ATM_WITHDRAWAL
26,2024-09-03 19:49:06,14.0,Subscriptions,DE,TRANSFER
26,2024-07-14 14:53:06,61.03,Restaurants,UK,CARD_PAYMENT
26,2024-07-11 07:10:06,19.92,Groceries,ES,ATM_WITHDRAWAL
26,2024-09-09 12:23:06,10.65,Online Shopping,UK,CARD_PAYMENT
26,2024-07-23 01:06:06,32.9,Transport,UK,CARD_PAYMENT
26,2024-08-14 18:54:06,9.66,Transport,IT,ATM_WITHDRAWAL
26,2024-08-24 11:46:06,22.77,Restaurants,AT,CARD_PAYMENT
28,2025-01-20 04:54:13,6.2,Subscriptions,UK,CARD_PAYMENT
28,2025-02-01 17:01:13,9.05,Travel,DE,CARD_PAYMENT
28,2025-02-08 06:47:13,22.6,Subscriptions,UK,ATM_WITHDRAWAL
28,2025-03-10 11:16:13,31.28,Groceries,AT,TRANSFER
28,2025-03-19 05:10:13,22.26,Online Shopping,DE,TRANSFER
28,2025-02-26 11:00:13,18.74,Travel,DE,ATM_WITHDRAWAL
28,2025-01-18 08:21:13,16.77,Subscriptions,FR,CARD_PAYMENT
28,2025-01-26 15:57:13,8.27,Transport,IT,TRANSFER
28,2025-01-24 01:20:13,13.04,Travel,DE,TRANSFER
28,2024-12-27 02:17:13,15.24,Travel,UK,TRANSFER
